dataset,n_subjects,population,region,orientation,contrasts_in_raw,contrasts_in_processed,notes
basel-mp2rage,283,SEP + contrôles sains,Cerveau + cervicale C1-C5,3D volumique (sagittal/isotropique),"MP2RAGE: inv1, inv2, UNIT1, UNIT1-dénoisé","MP2RAGE UNIT1","Grand FOV couvrant cerveau ET moelle. Raters multiples pour lésions SEP. Aucun fichier datasplit → tous unknown."
canproco,450,SEP,Cervicale,Mixte sagittal + axial,"T2w sag 0.8mm iso; STIR/PSIR sag 0.7×0.7×3mm; T2star (ME-GRE) ax 0.5×0.5×5mm; MT ax 0.5×0.5×5mm","T2w sag, STIR sag","5 centres canadiens (Calgary/Edmonton/Montréal/Toronto/Vancouver). Longitudinal ses-M0/M12. T2star et MTS sans masques manuels → absents du preprocessing."
data-multi-subject,267,Sains,Cervicale,Mixte sagittal + axial,"T1w sag, T2w sag, T2star ax, MTS ax (flip1/flip2/MT-on)","T1w sag, T2w sag, T2star ax, MTS ax","Protocole Spine Generic standardisé multi-sites multi-constructeurs (Siemens/GE/Philips). Référence reproductibilité inter-site."
dcm-brno,153,DCM (sains + compression asymptomatique + symptomatique),Cervicale,Mixte axial + sagittal,"T1w ax, T2w sag, T2star ax, DWI ax","T2w sag","3T Siemens Prisma 64ch. Segmentations SC T2w + T2star disponibles mais seul T2w a masque avec suffixe _seg.nii.gz dans processed."
dcm-zurich,152,DCM (étude ProCSM),Cervicale,Mixte sagittal + axial,"T2w sag, T2w ax (stitched top+bottom FOV), T1w sag","T2w ax stitched","Longitudinal M0/M6/M12. Recouvre 41/42 sujets de dcm-zurich-lesions-20231115. IDs processés (sub-001…) ≠ IDs dans splits → tous unknown."
dcm-zurich-lesions,14,DCM,Cervicale,Axial,T2w ax,T2w ax,"Sous-ensemble de dcm-zurich. Lésions en hyperintensité segmentées manuellement."
dcm-zurich-lesions-20231115,42,DCM,Cervicale,Axial,T2w ax (avant stitching),T2w ax,"Extension de dcm-zurich-lesions partagée en nov 2023 + 4 sujets en mai 2024. Recouvre dcm-zurich à 41/42 sujets."
lumbar-epfl,21,Sains,Lombaire,Sagittal,T2w sag,T2w sag,"Dataset lombaire sain. Utilisé pour entraînement du modèle contrast-agnostic."
lumbar-vanderbilt,86,Sains,Lombaire,Mixte sagittal + axial,"T2w sag (localizer), T2star ax (mFFE)","T2star ax","Seule base avec segmentation matière grise lombaire. T2w sagittal sans masque SC → absent du preprocessing."
nih-ms-mp2rage,200,SEP,Cerveau + cervicale C1-C5,3D volumique (sagittal/isotropique),"MP2RAGE: inv1, inv2, UNIT1, UNIT1-dénoisé, T1map","MP2RAGE UNIT1 + UNIT1-dénoisé","Grand FOV cerveau+moelle. Aucun fichier datasplit → tous unknown."
sci-colorado,80,SCI (traumatisme médullaire cervical),Cervicale,Axial,"T1w ax, T2w ax","T1w ax, T2w ax","Université du Colorado Anschutz. Quelques sujets avec T1w manquant."
sci-paris,14,SCI,Cervicale,Isotropique (sagittal probable),T2w iso,T2w,"Dataset PhD Julien Cohen-Adad Paris. Lésions SCI segmentées manuellement."
sci-zurich,78,SCI chronique,Cervicale,Mixte sagittal + axial,"T1w sag, T1w ax, T2w sag, T2w ax","T2w ax","Multi-sessions (ses-01/02/03). Balgrist Zurich. 3 sujets avec segmentations approximatives à ne pas utiliser comme GT fiable."
sct-testing-large,1381,Mixte (sains + SEP + autres),Principalement cervicale,Mixte sagittal + axial,"T2w sag, T2w ax, T2star ax (hétérogène selon site)","T2w ax/sag, T2star ax","Base agrégée multi-institutions (Paris/NIH/Milan/Zurich/Karolinska…). Split couvre un sous-ensemble de sites → sujets hors-split labellisés unknown."
